title,rank,ongoing,year_end,year_start,num_of_episodes,parental_rating,user_rating,user_votes_count,series_type,link
Breaking Bad,1,No,2013,2008,62,TV-MA,9.5,2.4M,TV Series,/title/tt0903747/
Planet Earth II,2,No,2016,2016,6,TV-G,9.4,167K,TV Mini Series,/title/tt5491994/
Planet Earth,3,No,2006,2006,11,TV-PG,9.4,228K,TV Mini Series,/title/tt0795176/
Band of Brothers,4,No,2001,2001,10,TV-MA,9.4,566K,TV Mini Series,/title/tt0185906/
Chernobyl,5,No,2019,2019,5,TV-MA,9.3,959K,TV Mini Series,/title/tt7366338/
The Wire,6,No,2008,2002,60,TV-MA,9.3,406K,TV Series,/title/tt0306414/
Avatar: The Last Airbender,7,No,2008,2005,62,TV-Y7-FV,9.3,410K,TV Series,/title/tt0417299/
Blue Planet II,8,No,2017,2017,7,TV-G,9.3,52K,TV Mini Series,/title/tt6769208/
The Sopranos,9,No,2007,1999,86,TV-MA,9.2,531K,TV Series,/title/tt0141842/
Cosmos: A Spacetime Odyssey,10,No,2014,2014,13,TV-PG,9.2,135K,TV Mini Series,/title/tt2395695/
Cosmos,11,No,1980,1980,13,TV-PG,9.3,48K,TV Mini Series,/title/tt0081846/
Our Planet,12,No,2023,2019,12,TV-PG,9.2,57K,TV Series,/title/tt9253866/
Game of Thrones,13,No,2019,2011,74,TV-MA,9.2,2.5M,TV Series,/title/tt0944947/
Bluey,14,No,2024,2018,195,TV-Y,9.3,40K,TV Series,/title/tt7678620/
The World at War,15,No,1974,1973,26,TV-PG,9.2,33K,TV Series,/title/tt0071075/
Fullmetal Alchemist: Brotherhood,16,No,2010,2009,68,TV-14,9.1,224K,TV Series,/title/tt1355642/
Life,17,No,2009,2009,11,TV-G,9.1,46K,TV Mini Series,/title/tt1533395/
Rick and Morty,18,Yes,,2013,85,TV-MA,9.1,657K,TV Series,/title/tt2861424/
The Last Dance,19,No,2020,2020,10,TV-MA,9.0,168K,TV Mini Series,/title/tt8420184/
Attack on Titan,20,No,2023,2013,98,TV-MA,9.1,622K,TV Series,/title/tt2560140/
The Twilight Zone,21,No,1964,1959,156,TV-PG,9.0,101K,TV Series,/title/tt0052520/
The Vietnam War,22,No,2017,2017,10,TV-MA,9.1,32K,TV Mini Series,/title/tt1877514/
Sherlock,23,No,2017,2010,15,TV-14,9.0,1.1M,TV Series,/title/tt1475582/
Batman: The Animated Series,24,No,1995,1992,85,TV-PG,9.0,128K,TV Series,/title/tt0103359/
Arcane,25,No,2024,2021,18,TV-14,9.0,402K,TV Series,/title/tt11126994/
Better Call Saul,26,No,2022,2015,63,TV-MA,9.0,742K,TV Series,/title/tt3032476/
The Office,27,No,2013,2005,188,TV-14,9.0,782K,TV Series,/title/tt0386676/
The Blue Planet,28,No,2001,2001,8,TV-G,9.0,46K,TV Series,/title/tt0296310/
Clarkson's Farm,29,Yes,,2021,33,TV-PG,9.0,76K,TV Series,/title/tt10541088/
Scam 1992: The Harshad Mehta Story,30,No,2020,2020,10,TV-14,9.2,166K,TV Mini Series,/title/tt12392504/
Frozen Planet,31,No,2012,2011,10,TV-PG,9.0,36K,TV Mini Series,/title/tt2092588/
Human Planet,32,No,2011,2011,8,TV-PG,9.0,30K,TV Mini Series,/title/tt1806234/
Hunter x Hunter,33,No,2014,2011,148,TV-14,9.0,167K,TV Series,/title/tt2098220/
Only Fools and Horses,34,No,2003,1981,64,TV-PG,9.0,61K,TV Series,/title/tt0081912/
Firefly,35,No,2003,2002,14,TV-14,8.9,292K,TV Series,/title/tt0303461/
The Civil War,36,No,1990,1990,9,TV-14,9.0,22K,TV Mini Series,/title/tt0098769/
Death Note,37,No,2007,2006,37,TV-14,8.9,432K,TV Series,/title/tt0877057/
Gravity Falls,38,No,2016,2012,41,TV-Y7,8.9,159K,TV Series,/title/tt1865718/
As If,39,No,2025,2021,68,,9.0,30K,TV Series,/title/tt13675832/
Seinfeld,40,No,1998,1989,172,TV-PG,8.9,371K,TV Series,/title/tt0098904/
The Pitt,41,Yes,,2025,16,TV-MA,8.9,56K,TV Series,/title/tt31938062/
Dekalog,42,No,1990,1989,10,TV-MA,8.9,31K,TV Mini Series,/title/tt0092337/
The Beatles: Get Back,43,No,2021,2021,3,PG-13,8.9,33K,TV Mini Series,/title/tt9735318/
True Detective,44,Yes,,2014,31,TV-MA,8.9,709K,TV Series,/title/tt2356777/
Cowboy Bebop,45,No,1999,1998,26,TV-14,8.9,156K,TV Series,/title/tt0213338/
Nathan for You,46,No,2017,2013,32,TV-14,8.9,44K,TV Series,/title/tt2297757/
Fargo,47,No,2024,2014,51,TV-MA,8.8,447K,TV Series,/title/tt2802850/
Persona,48,No,2024,2018,22,TV-MA,9.0,52K,TV Series,/title/tt7920978/
Taskmaster,49,Yes,,2015,192,TV-14,9.0,25K,TV Series,/title/tt4934214/
Frieren: Beyond Journey's End,50,Yes,,2023,29,TV-14,8.9,45K,TV Series,/title/tt22248376/
Apocalypse: The Second World War,51,No,2009,2009,6,TV-MA,9.0,17K,TV Mini Series,/title/tt1508238/
Africa,52,No,2013,2013,7,TV-PG,8.9,19K,TV Mini Series,/title/tt2571774/
When They See Us,53,No,2019,2019,4,TV-MA,8.8,149K,TV Mini Series,/title/tt7137906/
Friends,54,No,2004,1994,235,TV-14,8.9,1.2M,TV Series,/title/tt0108778/
Last Week Tonight with John Oliver,55,Yes,,2014,389,TV-MA,8.8,100K,TV Series,/title/tt3530232/
It's Always Sunny in Philadelphia,56,Yes,,2005,179,TV-MA,8.8,268K,TV Series,/title/tt0472954/
The West Wing,57,No,2006,1999,155,TV-14,8.9,93K,TV Series,/title/tt0200276/
Succession,58,No,2023,2018,39,TV-MA,8.8,322K,TV Series,/title/tt7660850/
TVF Pitchers,59,No,2022,2015,10,TV-MA,9.1,76K,TV Series,/title/tt4742876/
One Piece,60,Yes,,1999,1152,TV-14,9.0,302K,TV Series,/title/tt0388629/
Curb Your Enthusiasm,61,No,2024,2000,120,TV-MA,8.8,158K,TV Series,/title/tt0264235/
Monty Python's Flying Circus,62,No,1974,1969,45,TV-14,8.8,83K,TV Series,/title/tt0063929/
Das Boot,63,No,1985,1985,3,TV-MA,8.8,36K,TV Mini Series,/title/tt0081834/
BoJack Horseman,64,No,2020,2014,77,TV-MA,8.8,213K,TV Series,/title/tt3398228/
Fawlty Towers,65,No,1979,1975,12,TV-PG,8.8,106K,TV Series,/title/tt0072500/
Panchayat,66,Yes,,2020,32,TV-14,9.0,108K,TV Series,/title/tt12004706/
Bleach: Thousand-Year Blood War,67,Yes,,2022,41,TV-MA,9.0,63K,TV Series,/title/tt14986406/
Dragon Ball Z,68,No,2003,1996,277,TV-PG,8.8,164K,TV Series,/title/tt0214341/
Blackadder Goes Forth,69,No,1989,1989,6,TV-PG,8.8,61K,TV Series,/title/tt0096548/
Leyla and Mecnun,70,No,2023,2011,144,TV-PG,9.0,100K,TV Series,/title/tt1831164/
The Chosen,71,Yes,,2017,44,TV-PG,9.1,60K,TV Series,/title/tt5622316/
When Life Gives You Tangerines,72,No,2025,2025,16,TV-14,9.2,22K,TV Series,/title/tt26471411/
Freaks and Geeks,73,No,2000,1999,18,TV-14,8.8,160K,TV Series,/title/tt0193676/
Pride and Prejudice,74,No,1995,1995,6,TV-PG,8.8,99K,TV Mini Series,/title/tt0112130/
Twin Peaks,75,No,1991,1990,30,TV-MA,8.7,233K,TV Series,/title/tt0098936/
Dragon Ball Z,76,No,1996,1989,291,TV-PG,8.8,97K,TV Series,/title/tt0121220/
Chappelle's Show,77,No,2006,2003,33,TV-MA,8.8,76K,TV Series,/title/tt0353049/
Vinland Saga,78,No,2023,2019,48,TV-MA,8.8,104K,TV Series,/title/tt10233448/
Narcos,79,No,2017,2015,30,TV-MA,8.7,505K,TV Series,/title/tt2707408/
Gullak,80,Yes,,2019,20,,9.1,27K,TV Series,/title/tt10530900/
"I, Claudius",81,No,1976,1976,13,Not Rated,8.8,21K,TV Mini Series,/title/tt0074006/
Reply 1988,82,No,2016,2015,20,,9.0,16K,TV Series,/title/tt5182866/
South Park,83,Yes,,1997,328,TV-MA,8.7,425K,TV Series,/title/tt0121955/
Kota Factory,84,No,2021,2019,15,TV-14,9.0,89K,TV Series,/title/tt9432978/
Ted Lasso,85,Yes,,2020,35,TV-MA,8.8,407K,TV Series,/title/tt10986410/
Black Mirror,86,Yes,,2011,33,TV-MA,8.7,701K,TV Series,/title/tt2085059/
Over the Garden Wall,87,No,2014,2014,10,TV-PG,8.7,81K,TV Mini Series,/title/tt3718778/
Peaky Blinders,88,No,2022,2013,36,TV-MA,8.7,719K,TV Series,/title/tt2442560/
Steins;Gate,89,No,2015,2011,26,TV-14,8.8,84K,TV Series,/title/tt1910272/
Six Feet Under,90,No,2005,2001,63,TV-MA,8.7,160K,TV Series,/title/tt0248654/
My Mister,91,No,2018,2018,16,TV-14,9.0,13K,TV Series,/title/tt7923710/
Rome,92,No,2007,2005,22,TV-MA,8.7,196K,TV Series,/title/tt0384766/
Oz,93,No,2003,1997,56,TV-MA,8.7,113K,TV Series,/title/tt0118421/
Berserk,94,No,1998,1997,25,TV-MA,8.7,67K,TV Series,/title/tt0318871/
X-Men '97,95,Yes,,2024,12,TV-14,8.7,46K,TV Series,/title/tt16026746/
Dark,96,No,2020,2017,26,TV-MA,8.7,497K,TV Series,/title/tt5753856/
Fleabag,97,No,2019,2016,12,TV-MA,8.7,229K,TV Series,/title/tt5687612/
The Shield,98,No,2008,2002,89,TV-MA,8.7,94K,TV Series,/title/tt0286486/
Downton Abbey,99,No,2015,2010,52,TV-PG,8.7,236K,TV Series,/title/tt1606375/
The Grand Tour,100,No,2024,2016,46,TV-14,8.7,91K,TV Series,/title/tt5712554/
Battlestar Galactica,101,No,2009,2004,74,TV-14,8.7,183K,TV Series,/title/tt0407362/
Severance,102,Yes,,2022,20,TV-MA,8.7,328K,TV Series,/title/tt11280740/
Peep Show,103,No,2015,2003,54,TV-MA,8.7,71K,TV Series,/title/tt0387764/
Mad Men,104,No,2015,2007,92,TV-MA,8.7,277K,TV Series,/title/tt0804503/
Blue Eye Samurai,105,Yes,,2023,9,TV-MA,8.7,93K,TV Series,/title/tt13309742/
Invincible,106,Yes,,2021,25,TV-MA,8.7,280K,TV Series,/title/tt6741278/
The Simpsons,107,Yes,,1989,856,TV-14,8.6,456K,TV Series,/title/tt0096697/
Star Trek: The Next Generation,108,No,1994,1987,176,TV-PG,8.7,144K,TV Series,/title/tt0092455/
Monster,109,No,2005,2004,75,TV-14,8.7,58K,TV Series,/title/tt0434706/
Naruto: Shippuden,110,No,2017,2007,501,TV-PG,8.7,201K,TV Series,/title/tt0988824/
House,111,No,2012,2004,176,TV-14,8.7,564K,TV Series,/title/tt0412142/
Arrested Development,112,No,2019,2003,84,TV-14,8.6,336K,TV Series,/title/tt0367279/
Justice League Unlimited,113,No,2006,2004,39,TV-Y7-FV,8.7,24K,TV Series,/title/tt6025022/
One Punch Man,114,Yes,,2015,39,TV-PG,8.7,204K,TV Series,/title/tt4508902/
The Adventures of Sherlock Holmes,115,No,1985,1984,13,TV-PG,8.7,26K,TV Series,/title/tt0086661/
Mahabharat,116,No,1990,1988,94,TV-14,8.9,26K,TV Series,/title/tt0158417/
Friday Night Lights,117,No,2011,2006,76,TV-14,8.7,76K,TV Series,/title/tt0758745/
Line of Duty,118,No,2026,2012,37,TV-14,8.7,76K,TV Series,/title/tt2303687/
Top Gear,119,No,2022,2002,328,TV-PG,8.7,133K,TV Series,/title/tt1628033/
The Marvelous Mrs. Maisel,120,No,2023,2017,43,TV-MA,8.7,152K,TV Series,/title/tt5788792/
The Boys,121,Yes,,2019,40,TV-MA,8.6,786K,TV Series,/title/tt1190634/
Stranger Things,122,No,2025,2016,42,TV-14,8.6,1.5M,TV Series,/title/tt4574334/
How to with John Wilson,123,No,2023,2020,18,TV-MA,8.7,16K,TV Series,/title/tt10801534/
The Thick of It,124,No,2012,2005,24,TV-MA,8.7,28K,TV Series,/title/tt0459159/
This Is Us,125,No,2022,2016,106,TV-14,8.7,169K,TV Series,/title/tt5555260/
Behzat Ç: An Ankara Detective Story,126,No,2019,2010,105,TV-14,8.8,35K,TV Series,/title/tt1795096/
1883,127,No,2022,2021,10,TV-MA,8.7,146K,TV Mini Series,/title/tt13991232/
Sarabhai V/S Sarabhai,128,No,2017,2004,79,TV-PG,8.9,19K,TV Series,/title/tt1518542/
Father Ted,129,No,1998,1995,25,TV-14,8.6,46K,TV Series,/title/tt0111958/
Aspirants,130,Yes,,2021,10,,9.2,316K,TV Series,/title/tt14392248/
Code Geass,131,No,2008,2006,54,TV-14,8.7,92K,TV Series,/title/tt0994314/
Ramayan,132,No,1988,1987,78,TV-14,9.0,26K,TV Series,/title/tt0268093/
Adventure Time,133,No,2018,2010,289,TV-PG,8.6,125K,TV Series,/title/tt1305826/
Parks and Recreation,134,No,2015,2009,124,TV-14,8.6,304K,TV Series,/title/tt1266020/
The X-Files,135,No,2018,1993,217,TV-14,8.6,264K,TV Series,/title/tt0106179/
The Mandalorian,136,Yes,,2019,25,TV-14,8.6,630K,TV Series,/title/tt8111088/
Atlanta,137,No,2022,2016,41,TV-MA,8.6,95K,TV Series,/title/tt4288182/
Dexter,138,No,2013,2006,96,TV-MA,8.6,853K,TV Series,/title/tt0773262/
Deadwood,139,No,2006,2004,36,TV-MA,8.6,124K,TV Series,/title/tt0348914/
House of Cards,140,No,2018,2013,73,TV-MA,8.6,548K,TV Series,/title/tt1856010/
The Crown,141,No,2023,2016,60,TV-MA,8.6,272K,TV Series,/title/tt4786824/
Mr Inbetween,142,No,2021,2018,26,TV-MA,8.7,41K,TV Series,/title/tt7472896/
It's a Sin,143,No,2021,2021,5,TV-MA,8.6,39K,TV Mini Series,/title/tt9140342/
Daredevil,144,No,2018,2015,39,TV-MA,8.6,509K,TV Series,/title/tt3322312/
The Bridge,145,No,2018,2011,38,TV-MA,8.6,81K,TV Series,/title/tt1733785/
Primal,146,Yes,,2019,21,TV-MA,8.6,25K,TV Series,/title/tt10332508/
Poirot,147,No,2013,1989,70,TV-14,8.6,56K,TV Series,/title/tt0094525/
Blackadder II,148,No,1986,1986,6,TV-PG,8.6,52K,TV Series,/title/tt0088484/
Fighting Spirit,149,No,2002,2000,76,TV-PG,8.8,14K,TV Series,/title/tt0481256/
Lonesome Dove,150,No,1989,1989,4,TV-14,8.7,28K,TV Mini Series,/title/tt0096639/
Mindhunter,151,No,2019,2017,19,TV-MA,8.6,371K,TV Series,/title/tt5290382/
Shōgun,152,No,2026,2024,12,TV-MA,8.6,221K,TV Series,/title/tt2788316/
Mr. Bean,153,No,1995,1990,15,Not Rated,8.6,144K,TV Series,/title/tt0096657/
The Return of Sherlock Holmes,154,No,1988,1986,13,TV-PG,8.7,15K,TV Series,/title/tt0090509/
Crash Landing on You,155,No,2020,2019,19,TV-14,8.7,52K,TV Series,/title/tt10850932/
The Penguin,156,No,2024,2024,8,TV-MA,8.6,201K,TV Mini Series,/title/tt15435876/
The Offer,157,No,2022,2022,10,TV-MA,8.6,47K,TV Mini Series,/title/tt13111040/
Haikyu!!,158,No,2020,2014,89,TV-14,8.7,46K,TV Series,/title/tt3398540/
The Jinx: The Life and Deaths of Robert Durst,159,No,2024,2015,12,TV-14,8.6,57K,TV Series,/title/tt4299972/
Yes Minister,160,No,1984,1980,22,TV-PG,8.6,18K,TV Series,/title/tt0080306/
Gomorrah,161,No,2021,2014,58,TV-MA,8.6,48K,TV Series,/title/tt2049116/
Pose,162,No,2021,2018,26,TV-MA,8.6,35K,TV Series,/title/tt7562112/
Blackadder the Third,163,No,1987,1987,6,TV-PG,8.6,49K,TV Series,/title/tt0092324/
El Chavo del Ocho,164,No,1983,1972,358,TV-PG,8.7,15K,TV Series,/title/tt0229889/
Scavengers Reign,165,No,2023,2023,12,TV-MA,8.6,31K,TV Mini Series,/title/tt21056886/
Greatest Events of WWII in Colour,166,No,2019,2019,10,,8.6,13K,TV Mini Series,/title/tt9103932/
The Bureau,167,No,2020,2015,50,TV-MA,8.7,17K,TV Series,/title/tt4063800/
Anne with an E,168,No,2019,2017,27,TV-PG,8.6,75K,TV Series,/title/tt5421602/
Critical Role,169,Yes,,2015,379,TV-14,9.0,14K,TV Series,/title/tt4834232/
The Newsroom,170,No,2014,2012,25,TV-MA,8.6,131K,TV Series,/title/tt1870479/
Archer,171,No,2023,2009,144,TV-MA,8.6,172K,TV Series,/title/tt1486217/
Mystery Science Theater 3000,172,No,1999,1988,199,TV-14,8.6,27K,TV Series,/title/tt0094517/
Dopesick,173,No,2021,2021,8,TV-MA,8.6,87K,TV Mini Series,/title/tt9174558/
Boardwalk Empire,174,No,2014,2010,56,TV-MA,8.6,212K,TV Series,/title/tt0979432/
Homicide: Life on the Street,175,No,1999,1993,122,TV-14,8.7,16K,TV Series,/title/tt0106028/
Yeh Meri Family,176,Yes,,2018,22,TV-14,8.9,27K,TV Series,/title/tt8595766/
Justified,177,No,2015,2010,78,TV-MA,8.6,126K,TV Series,/title/tt1489428/
QI,178,Yes,,2003,358,TV-PG,8.6,35K,TV Series,/title/tt0380136/
The Bugs Bunny Show,179,No,1975,1960,78,TV-G,8.6,37K,TV Series,/title/tt0053488/
Young Justice,180,No,2022,2010,98,TV-PG,8.6,49K,TV Series,/title/tt1641384/
The Last of Us,181,Yes,,2023,17,TV-MA,8.6,680K,TV Series,/title/tt3581920/
The Family Man,182,Yes,,2019,20,TV-MA,8.7,105K,TV Series,/title/tt9544034/
Demon Slayer: Kimetsu no Yaiba,183,No,2024,2019,69,TV-MA,8.6,191K,TV Series,/title/tt9335498/
What We Do in the Shadows,184,No,2024,2019,61,TV-MA,8.6,120K,TV Series,/title/tt7908628/
Dragon Ball,185,No,1989,1986,153,TV-14,8.5,73K,TV Series,/title/tt0088509/
Battlestar Galactica,186,No,2003,2003,2,TV-14,8.5,83K,TV Mini Series,/title/tt0314979/
The Haunting of Hill House,187,No,2018,2018,10,TV-MA,8.5,312K,TV Mini Series,/title/tt6763664/
Justice League,188,No,2004,2001,52,TV-PG,8.5,55K,TV Series,/title/tt0275137/
Dragon Ball,189,No,2003,1995,153,TV-14,8.5,71K,TV Series,/title/tt0280249/
Andor,190,No,2025,2022,24,TV-14,8.5,235K,TV Series,/title/tt9253284/
Endeavour,191,No,2023,2012,36,TV-14,8.6,36K,TV Series,/title/tt2701582/
The Venture Bros.,192,No,2018,2003,86,TV-14,8.6,30K,TV Series,/title/tt0417373/
"Yes, Prime Minister",193,No,1987,1986,16,TV-PG,8.6,14K,TV Series,/title/tt0086831/
Samurai Champloo,194,No,2005,2004,26,TV-MA,8.5,60K,TV Series,/title/tt0423731/
Flight of the Conchords,195,No,2009,2007,22,TV-MA,8.5,68K,TV Series,/title/tt0863046/
The Rehearsal,196,Yes,,2022,12,TV-MA,8.5,33K,TV Series,/title/tt10802170/
The IT Crowd,197,No,2013,2006,27,TV-14,8.5,172K,TV Series,/title/tt0487831/
The Queen's Gambit,198,No,2020,2020,7,TV-MA,8.5,624K,TV Mini Series,/title/tt10048342/
Coupling,199,No,2004,2000,28,TV-14,8.5,49K,TV Series,/title/tt0237123/
Rocket Boys,200,Yes,,2022,16,,8.8,20K,TV Series,/title/tt13868972/
Black Sun,201,No,2020,2017,20,TV-MA,8.8,13K,TV Series,/title/tt6108262/
Solo Leveling,202,Yes,,2024,26,TV-MA,8.6,82K,TV Series,/title/tt21209876/
Mr. Robot,203,No,2019,2015,45,TV-MA,8.5,444K,TV Series,/title/tt4158110/
I'm Alan Partridge,204,No,2002,1997,12,TV-MA,8.6,23K,TV Series,/title/tt0129690/
Ezel,205,No,2011,2009,71,TV-14,8.6,41K,TV Series,/title/tt1534360/
Making a Murderer,206,No,2018,2015,20,TV-14,8.5,106K,TV Series,/title/tt5189670/
Detectorists,207,No,2022,2014,20,TV-14,8.6,24K,TV Series,/title/tt4082744/
Samurai Jack,208,No,2017,2001,62,TV-MA,8.5,64K,TV Series,/title/tt0278238/
Happy Valley,209,No,2023,2014,18,TV-MA,8.5,70K,TV Series,/title/tt3428912/
The Bear,210,Yes,,2022,39,TV-MA,8.5,277K,TV Series,/title/tt14452776/
Regular Show,211,No,2017,2010,244,TV-PG,8.6,68K,TV Series,/title/tt1710308/
Impractical Jokers,212,Yes,,2011,310,TV-14,8.5,49K,TV Series,/title/tt2100976/
Yellowstone,213,No,2024,2018,53,TV-MA,8.6,280K,TV Series,/title/tt4236770/
Long Way Round,214,No,2010,2004,10,TV-PG,8.6,17K,TV Mini Series,/title/tt0403778/
Spaced,215,No,2001,1999,14,TV-14,8.5,60K,TV Series,/title/tt0187664/
Spartacus,216,No,2013,2010,33,TV-MA,8.5,268K,TV Series,/title/tt1442449/
Derry Girls,217,No,2022,2018,19,TV-MA,8.5,70K,TV Series,/title/tt7120662/
Twin Peaks,218,No,2017,2017,18,TV-MA,8.5,84K,TV Series,/title/tt4093826/
Whose Line Is It Anyway?,219,No,2007,1998,220,TV-PG,8.5,48K,TV Series,/title/tt0163507/
Sons of Anarchy,220,No,2014,2008,92,TV-MA,8.5,342K,TV Series,/title/tt1124373/
Mob Psycho 100,221,No,2022,2016,37,TV-14,8.5,57K,TV Series,/title/tt5897304/
Jujutsu Kaisen,222,Yes,,2020,48,TV-MA,8.5,158K,TV Series,/title/tt12343534/
Louie,223,No,2015,2010,61,TV-MA,8.5,84K,TV Series,/title/tt1492966/
The Eric Andre Show,224,Yes,,2012,68,TV-MA,8.5,23K,TV Series,/title/tt2244495/
Alchemy of Souls,225,No,2023,2022,30,TV-14,8.7,24K,TV Series,/title/tt20859920/
Through the Wormhole,226,No,2017,2010,62,TV-PG,8.6,19K,TV Series,/title/tt1513168/
The Office,227,No,2003,2001,14,TV-MA,8.5,129K,TV Series,/title/tt0290978/
Neon Genesis Evangelion,228,No,1996,1995,26,TV-MA,8.5,99K,TV Series,/title/tt0112159/
Trailer Park Boys,229,No,2026,2001,116,TV-MA,8.5,55K,TV Series,/title/tt0290988/
Spartacus: Gods of the Arena,230,No,2011,2011,6,TV-MA,8.5,151K,TV Mini Series,/title/tt1758429/
My Brilliant Friend,231,No,2024,2018,34,TV-MA,8.6,22K,TV Series,/title/tt7278862/
Schitt's Creek,232,No,2020,2015,80,TV-14,8.5,163K,TV Series,/title/tt3526078/
Brass Eye,233,No,2001,1997,7,TV-MA,8.6,12K,TV Series,/title/tt0118273/
Silicon Valley,234,No,2019,2014,53,TV-MA,8.5,175K,TV Series,/title/tt2575988/
Rurôni Kenshin: Meiji kenkaku romantan - Tsuioku-hen,235,No,1999,1999,4,TV-MA,8.6,17K,TV Mini Series,/title/tt0203082/
All Creatures Great & Small,236,Yes,,2020,35,TV-PG,8.6,20K,TV Series,/title/tt10590066/
Futurama,237,Yes,,1999,180,TV-14,8.5,272K,TV Series,/title/tt0149460/
Fullmetal Alchemist,238,No,2004,2003,51,TV-PG,8.5,83K,TV Series,/title/tt0421357/
The Expanse,239,No,2022,2015,62,TV-14,8.5,184K,TV Series,/title/tt3230854/
Skam,240,No,2017,2015,43,Not Rated,8.6,41K,TV Series,/title/tt5288312/
Shameless,241,No,2021,2011,134,TV-MA,8.5,314K,TV Series,/title/tt1586680/
North & South,242,No,2004,2004,4,TV-PG,8.5,37K,TV Mini Series,/title/tt0417349/
Hannibal,243,No,2015,2013,39,TV-MA,8.5,294K,TV Series,/title/tt2243973/
Formula 1: Drive to Survive,244,Yes,,2019,70,TV-MA,8.5,57K,TV Series,/title/tt8289930/
Doctor Who,245,No,2022,2005,175,TV-PG,8.5,259K,TV Series,/title/tt0436992/
Gintama,246,No,2021,2005,375,TV-14,8.7,19K,TV Series,/title/tt0988818/
Avrupa Yakasi,247,No,2009,2004,190,,8.6,23K,TV Series,/title/tt0421291/
Extraordinary Attorney Woo,248,No,2022,2022,16,TV-14,8.6,34K,TV Series,/title/tt20869502/
Foyle's War,249,No,2015,2002,28,TV-14,8.6,20K,TV Series,/title/tt0310455/
The Boondocks,250,No,2014,2005,56,TV-MA,8.5,39K,TV Series,/title/tt0373732/
